,ID,Name,Type
2150,369,The Youth on a Quest for his Lost Father,"A boy (young man) sets out to find his father who went away (disappeared) before his birth [H1381.2.2.1]. He comes to the house of an old woman (witch) and tricks her (kills her, wins a contest with her son). He finds his father (alive, dead, or transformed into an animal). The boy (a god) releases (resuscitates) his father."
2151,500,The Name of the Supernatural Helper,"(e.g. Tom Tit Tot, Rumpelstilzchen, Trillevip.) A father (mother) boasts that his daughter can spin gold or impossible amounts of yarn. Or, a mother beats her daughter because she is lazy. The king asks why and the mother says she will not stop spinning [H914]. The young womans talent is to be tested and she is shut in a room to spin [H1021.8, H1092]. If she fails she will die, but if she succeeds the king will marry her. She cries. A supernatural being (a little man) agrees to help her [D2183] if she will promise him her first child (herself) if she cannot guess his name [H521, S222, S222.1]. In some variants she has to remember his name after a long time. The young woman passes the test and the king marries her. After a year the little man, certain that she could not guess his name, comes back to take her child away. By chance the name is discovered (by a servant, the husband or the woman herself) when the little man sings it triumphantly in the forest [N475]. When the woman says the correct name to the helper he vanishes or sinks into the earth [C432.1]."
2152,500*,The Monster Reveals the Riddle,Students must count the peaks of a mountain range. They go to sleep. A monster watches them and thinks they are a multi-headed monster. He says that he walked through all the peaks of the mountain range (naming the number) and had never seen such a strange thing. Thus the students hear and solve the riddle. Cf. Type 1091.
2153,501,The Three Old Spinning Women (previously The Three Old Women Helpers),"Through a false boast of her mother [H914] or of a young woman herself [H915], she is compelled to spin an impossible amount of thread [H1092]. If she is successful a prince will marry her. She receives help from three old women who are deformed from too much spinning: the first has an enormous foot, the second has drooping lips, and the third has a thick thumb [G201.1, G244, D2183]. In payment she must invite them to her wedding. The prince sees them and exclaims in disgust. They tell him that their deformities come from spinning. He swears that he will never let his wife spin again."
2154,502,The Wild Man,"A king catches a wild man (Iron John) and puts him into a cage, forbidding anyone to set him free. His son frees the prisoner because his ball rolls into the cage or because he feels pity for him. The prince is afraid of his fathers anger and leaves home (his father drives him away to be killed or sends him to another king) along with a servant. On their way the servant persuades the prince to exchange clothes. The prince becomes a servant at the court of another king. At a tournament he appears unrecognized three times on a splendid horse [R222] which he received from the wild man and wins the hand of a princess. Or, he wins the princess because he has helped her father in war [L161]. Often the wild man is disenchanted [G671]. In some variants the prince works for a while at the wild mans house where he disobeys instructions (e.g. looks into a forbidden chamber [C611], cares for a horse although it is not allowed [B316]) and his hair turns to gold. Cf. Type 314."
2155,503,The Gifts of the Little People,"A hunchbacked man takes part in a dance of the witches or people from below the earth (elves, fairies, dwarfs) [F331.1]. He sings their song or adds a missing rhyme or more weekdays [F331.3, F331.4]. As a reward they remove his hump [F344.1] or give him gold [F342.1]. A greedy neighbor (hunchbacked person) wants to get the same reward, but he ruins the song or is unfriendly. The little people add the hump of the other man to his own, or give him coals instead of gold [J2415]. Cf. Type 480D*."
2156,505,The Grateful Dead,"(Including the previous Types 506506B, 506**, and 508.) One introductory episode is combined with various main parts in which a man wins a princess and a castle. The ending is also very similar. Introductory episode: While traveling, a man sees a corpse which is not allowed to be buried or is ill-treated by its creditors [Q271.1]. He uses all his money to pay the debts of the dead man and for his funeral. Later he meets the grateful dead man in the form of a traveling companion (old man, servant) who wants to help him [E341] on the condition that they will divide all their winnings [M241]. Cf. Type 507. Main parts: (1) The man ransoms a princess, who had been kidnapped, from slavery and marries her [R111.1.6, L161]. While the man is away in another country, the father of the princess recognizes the sail of the ship which is emboidered with the princess coat of arms and learns that his daughter is alive. When the man goes back to fetch his wife, he finds that she has been abducted by one of her fathers courtiers. The man searches for his wife, and the traveling companion helps him to return to his father-in-laws court [R163]. There the man discloses his identity as the husband of the princess and gets his bride back. (Previously Type 506A.) (2) The man rescues a young woman from robbers. On their way home by ship the man is thrown overboard by a rival [S142] but is rescued by the traveling companion [R163] and brought to the princess. He is recognized by means of a ring or otherwise [H94.4, H11.1]. The rival is unmasked and punished. (Previously Type 506B.) (3) The traveling companion equips the man with a magnificent horse. A tournament takes place in which the winner is to marry a princess [H972, H331.2]. The man wins her. (Previously Type 508.) Ending: The traveling companion asks for his part of the winnings and wants to divide the princess (their baby) [M241.1]. When the man, trying to save the princess, offers the whole kingdom, the traveling companion reveals himself as the grateful dead man, says his demand was only a test of faith, and vanishes. In some variants the grateful dead man is a saint, who helps the hero because he has redeemed a saints picture that was mistreated [N848.1]. (Previously Type 506**.)"
2157,506*,Prophecy Escaped,"A child is born in answer to a prayer [T548.1]. It is foreseen to the child that it will die by hanging when he is 20 years old [M341.1.4]. The child is helped by a companion (saint) who favours him because of his modesty. The companion saves the childs life and wins a princess for him. The helper demands half of the winnings, so the princess is to be divided [M241.1]. Cf. Type 934."
2158,507,The Monsters Bride,"(Including the previous Types 507A507C.) This type consists of one introductory part and two different main parts. The ending is often the same. Introductory part: While traveling a young man provides a suitable funeral for an unknown man whose corpse was mistreated by creditors [Q271.1]. Later he meets a traveling companion (servant) who wants to help him [E341] on the condition that they will divide all their winnings [M241]. Cf. Type 505. On their way, the traveling companion obtains (three) magic objects (e.g. boots, magic hood, cloak, sabre, feather). The young man woos a princess who is in love with a magician (ogre, devil). Her suitors have to guess her thoughts three times (bring hidden objects [H322.1], solve difficult tasks). If they fail they are executed. Main part: (1) With the help of the magic objects, the companion of the young man becomes invisible and follows the princess on her way to the magician. There he finds the solutions [H972]. He frees the princess by beating, burning, or killing the magician [T172.2.1]. On the wedding night the young man has to submerge the princess (in different forms) three times in a bath to release her from her enchantment [D766.1]. (Previously Type 507A.) Cf. Type 306. (2) All bridegrooms of a princess have perished during the bridal night [T172.0.1]. The young man marries her on advice of his companion. A snake (snakes) comes into the chamber or crawls out of the princess mouth to kill the young man, but the companion kills it. (Previously Types 507B, 507C.) Cf. Types 840, 1145. Ending: (After a year) the companion demands his half of the winnings and divides the princess in two parts. Snakes crawl out of her body. He puts the halves together and the princess is disenchanted forever. In a few variants the companion only pretents to divide the princess [M241.1] to test the faith of the young man, and then discloses his identity as the grateful dead man. Cf. Type 505."
2159,510,Cinderella and Peau dne,This type number refers to a cycle of related tales. See esp. Types 510A and 510B.
