,ID,Name,Type
0,1851,Anecdotes about Devout Women,This miscellaneous type consists of various anecdotes that make fun of the extreme credulity of devout old women.
1,1853,Anecdotes about Millers,"(Including the previous Types 1853A* and 1853B*.) This miscellaneous type consists of various anecdotes about millers, esp. in which they steal from their customers [e.g. K341.11.1, K486]."
2,1855,Anecdotes about Jews,This miscellaneous type consists of various anecdotes about Jews. Most are anti-Semitic [X610]. Cf. Type 1656.
3,1855A,Jewish Woman Makes Parents Believe that she Is to Give Birth to the Messiah,"A young Jewish woman (nun) becomes pregnant by a student (clergyman). Out of fear of her father, the student disguises himself as an angel and tells the father that his daughter will give birth to the Messiah. Many people come to witness the birth. The woman bears a daughter (whom her angry father kills) [J2336, K1962]. Cf. Type 1547*."
4,1855B,The Check in the Coffin,"On his deathbed, a Jew (farmer) asks his sons how much money they will put in his coffin to be buried with him. After he dies, two of the sons put the promised money into the coffin. The third writes a check for the entire amount. He puts this in the coffin and takes out the money that his brothers had put there for himself [K231.13]."
5,1855C,The Rescuers Sabbath,"A Jew falls into a well (canal) but refuses to be pulled out, because it is the Sabbath. On the following day (Sunday) he calls for help, but now his Christian rescuer refuses because of his own Sabbath [J1613]."
6,1855D,You Dont Know what you Are Missing,"A priest rides in a train eating a ham sandwich. He offers one to a rabbi (Jew) sitting across from him. The rabbi explains that he is not allowed to eat pork. The clergyman says, You dont know what you are missing pork is very good. When the clergyman leaves the train, the rabbi says, Greetings to your wife. The clergyman answers that he is not allowed to marry. The rabbi replies, You dont know what you are missing women are very good."
7,1855E,The Rabbi and the Collection Money,"A rabbi asks two clergymen of different religions how much of the collection money they keep for themselves. One keeps five percent, and the other, ten percent. They ask him the same question, and he answers, I throw it all into the air and whatever those above do not take, I keep for myself."
8,1856,Children by Day and by Night,"A painter paints beautiful children, although his own children are ugly. Someone asks him why this is, and he explains that he makes the first by day and the second by night [J1273]."
9,1857,Painting the Red Sea,"In order to atone for his sins, or because someone has asked him to, a man (nobleman, Eulenspiegel, woman) undertakes to paint a picture of the children of Israel crossing the Red Sea. He covers the canvas (wall) entirely with red. When asked where the children of Israel and the Egyptians are, the painter answers that the Israelites have already passed through, and the Egyptians have drowned."
10,1860,Anecdotes about Lawyers,This miscellaneous type consists of various anecdotes about (usually) clever lawyers [e.g. K441.2.1].
11,1860A,Lawyers in Hell,"This tale exists chiefly in two different forms: (1) A man tells a magistrate (mayor, lawyer, policemen) that he dreamed about (went to) hell. There, in the fire, he was about to sit on an empty chair, but one of the devils stopped him, saying that it was reserved for the magistrate [X312]. (2) A man (St. Peter, several saints) in heaven wants to have a trial to establish his rights, but there are no lawyers there to conduct it."
12,1860B,Dying like Christ between Two Thieves,"A dying man asks his wife to summon the lawyer and the notary (clergyman and sexton). When they stand on both sides of his deathbed, he says that he feels like the dying Christ, between two thieves [X313]."
13,1860C,Doubts his own Guilt,"A defense lawyer speaks so eloquently that his client, who had confessed to a crime, comes to doubt his own guilt and changes his plea [X319.1]."
14,1860D,The Lawyers Letter Opened,"Two farmers (neighbors) have an argument (over their common boundary) and go to court to settle their dispute. They go one after the other to the same lawyer, who refers the second man to a colleague, giving him a letter. The farmer opens the letter and sees that the lawyer promises his colleague and himself a good profit. The farmer shows the letter to the other farmer, and they settle their dispute without legal help."
15,1860E,Threshing Documents,"A farmer has received a legal statement from a lawyer. When checking the document, for which he has to pay by the page, he realizes that the lawyer has written the paper with wide spaces between the lines (and that the last part of the page is blank). The lawyer explains that this is how documents have to be written. The farmer cannot pay the bill and offers to repay the lawyer with his own work. He takes revenge by threshing the lawyers grain (plowing his field), leaving wide spaces unthreshed between the rows. He explains that this is called document-style threshing."
16,1861,Anecdotes about Judges,"This miscellaneous type comprises various anecdotes about judges, in most of which the judge settles a case to his own disadvantage."
17,1861*,"Keep your Seats! A proud woman (mayors wife, male student) arrives late in church (appears before an academic assembly) just as the congregation (audience) is standing up to pray","She thinks they have stood up on her account, so she bids them sit down (the student says he will take the seat by the door). She too had once been poor."
18,1861A,The Greater Bribe,"In order to resolve their dispute, two men go to a judge. Before the judge makes his decision, one of the men brings him a wagon (ox, ax, jar of oil, milk, brass lamp). The other man brings him a horse (fur, cow or butter, sow, piglet, mule). The judge decides in favor of the second man. When the first man complains that his wagon went the wrong way, the judge explains that it went the way the horse pulled it [K441.2] (the fur stopped up the oxs throat, the sow knocked over the oil jar, the piglet drank the milk, etc.) [J1192.1]. Cf. Type 1345."
19,1862,Anecdotes about Doctors (Physicians),"This miscellaneous type consists of various anecdotes about doctors. In many cases, the doctor does not know how to treat a patient (and the patient dies). In others, the patient takes the doctors instructions literally or follows them incorrectly [K1955, X372]. Cf. Type 1349N*."
20,1862A,Sham Physician: Using the Flea Powder,"A huckster sells powder that he guarantees will kill fleas. When someone asks how to use it, he replies that one has to catch the flea, hold its mouth open, and put a grain of powder in it [K1955.4]."
21,1862C,Diagnosis by Observation (previously Imitation of Diagnosis by Observation: Asss Flesh),"A doctor diagnoses that a sick man has eaten too much chicken (fruit). The doctors son asks how he knew this. The doctor answers that he looked through the mans garbage and noticed the bones (peels). The son is called to a different sickbed. He notices a donkey saddle under the bed (by the door) and diagnoses that the sick man has eaten too much donkey meat (horse and wagon, a pillow). The doctors son is ridiculed [J2412.4]. Cf. Type 1739. Or, he diagnoses that a sick woman has overexerted herself in church work (politics), because he finds a clergyman (politician) under her bed."
22,1862D,The Constipated Cow,"A veterinarian (charlatan) is called to treat a sick cow. He tells the farmer (farmhand) to hold the animals mouth open and look in. The veterinarian holds up the cows tail and holds a lantern under it. The farmer looking into the mouth cannot see the light, so the veterinarian says the cow suffers from constipation."
23,1862E,The Most Common Profession,"A court jester wants to show the king that the most common profession in the kingdom is that of doctoring. He ties a cloth around his head and pretends that he has a toothache. Everyone who comes by offers advice about treatments for toothache, and thus the king can see how many doctors there are [N63]."
24,1862F,What Is Good for One Is Not Good for All,"A sick smith comes to a quack doctor who prescribes that he should eat bacon pancakes (cauliflower with bacon) three times a day. Three days later the doctor sees the smith working hard and thinks that his prescription cured him. Later, a sick tailor comes to the same doctor and the doctor gives him the same prescription. When the tailor dies, the doctor decides that his prescription was good for smiths but not for tailors."
25,1864,Anecdotes about Madmen,This miscellaneous type consists of various anecdotes about people who are insane.
26,1865,Anecdotes about Foreigners,"This miscellaneous type consists of various anecdotes about foreigners (people from a neighboring country or town). Often the people are stereotyped, e.g. as thieves, as lazy, or as malicious. Some of the anecdotes refer to their ancestors: they are said to descend from some kind of animal."
27,1867,Anecdotes about the Gentry,This miscellaneous type consists of various anecdotes about noblemen.
28,1868,Anecdotes about Hanging (Gallows Humor),"This miscellaneous type consists of various anecdotes consisting of humorous dialogs between a criminal and the hangman, or in which the hanging cannot take place because the gallows falls apart. Cf. Types 927B927D."
29,1870,Anecdotes about Various Religions and Sects,This miscellaneous type consists of various anecdotes about people of a particular religion.
30,1871,Anecdotes about Philosophers,
31,1871A,Star Gazer Falls into Well,"A philosopher (Thales) always looks up in order to observe the stars. He falls into a well. An old woman asks him why he wants to learn about the stars, when he cannot even walk on earth without stumbling [J2133.8]."
32,1871B,King Cannot Destroy the City,A king wants to destroy a city. A philosopher from the city comes and asks for mercy. The king says that he always does the opposite of what people ask him to do. The philosopher asks him to destroy the city and thus saves it [J1289.10].
33,1871C,The Cynic Wants Sunlight,"The king asks the cynic (Diogenes) what he can do for him. The philosopher asks him to move his shadow and get out of his light. He says, Dont take away from me what you cant give me. [J1442.1]."
34,1871D,The Cynic and the Bald-headed Man,"A bald man insults a philosopher. The philosopher replies, I envy (praise) your hair. It left you a long time ago. [J1442.9]."
35,1871E,The Cynic and the Stone-throwing Boy,"An illegitimate boy who throws stones is warned by a cynic, Watch out, you might hit your father. [J1442.7]."
36,1871F,Diogenes and the Lantern,"Diogenes carries a lantern through the marketplace in broad daylight. When he is asked what he is doing, he replies, Looking for an honest man. [J1303]."
37,1871Z,Other Anecdotes about Diogenes,"This miscellaneous type consists of various anecdotes about the philosopher Diogenes [J1442.1.1, J1442.2, J1442.3, J1442.4, J1442.4.1, J1442.5, J1442.6, J1442.8, J1442.10]. Examples: (1) When Diogenes sees children drinking from their cupped hands, he gives up his own drinking cup. (2) A servant of the king sees Diogenes eating cabbage (washing lettuce) and says, If you worked for my master, you would have better things to eat. Diogenes answers, If you would eat cabbage, you would not have to flatter your master. [J211.1]. Cf. Type 201."
38,1775,The Hungry Clergyman,"This type combines one of two introductory episodes with a common main part. Introductory episodes: (1) Cf. Type 1691. (2) Master and servant (clergyman and sexton) go hunting (in the forest). The servant brings food but the master does not. When they become hungry, the servant eats his food privately and tells the master that he is eating hay (horse droppings). In the evening they are tired when they come to a farm. The servant warns his master not to accept an invitation to eat when it is first offered. He also tells the farmer not to invite the master more than once, or he will become angry. The master declines the first invitation, and it is not repeated. During the night, he goes out in search of food, and gives the servant the end of a rope to hold. The servant ties his end of the rope to the innkeepers bed, which motivates the next part of the tale. Main part: The hungry man eats his fill and wants to take some food to his companion. He winds up in the hosts bed and thinks the backside of the housewife is his companions face. When she farts, he thinks his companion is blowing on the food to cool it. Angry that the man will not eat, he slaps the porridge into his face. The woman wakes up and thinks she has soiled the bed [X431]. In some variants, the tale continues: The guest washes his messy hands in a jug and cannot get them out. Intending to break the jug on a stone, he breaks it instead on the bald head of the host or on the buttocks of the hosts wife, who has gotten up to clean herself."
39,1776,The Sexton Falls into the Brewing Vat,"A sexton goes to steal some beer from a clergyman. He hides and observes the clergyman in intimate relations with the maid (his wife). The sexton falls from his hiding place into the brewing vat. The couple think it is the devil, and flee [K1271.1.4]. The sexton gets the beer [K335]. Cf. Type 1360."
40,1777A*,l Cant Hear You,"A sexton confesses to a priest, who wants him to admit that he stole from the priests wine cellar (communion wine, field) when the priest was away. The sexton pretends not to understand what the priest means. Intending to demonstrate, the priest exchanges places with the sexton (in the confessional, in the church). Acting as the priest, the sexton asks who visits (kisses, sleeps with) his wife when he is away. The priest pretends he cannot hear the question [X441.1]."
41,1781,Sextons Own Wife Brings her Offering,"A clergyman and a sexton agree that the sexton may have all money given as offerings by the women who have slept with the clergyman. When a woman whom he has slept with comes with an offering, the clergyman says, Take it. This happens also when the sextons wife comes [K1541]."
