,ID,Name,Type
2084,413,The Stolen Clothing (previously Marriage by Stealing Clothing),"A youth comes upon a holy man (old woman) in the forest [N825]. He is told not to go in a certain direction, but when he does so [Z211], he sees three beautiful maidens bathing. The holy man agrees to help him, turns him into a bird, tells him to steal the clothes of one of the bathing girls [K1335], and warns him not to look back under any circumstances [C311]. The first time he does look back and is burned to a pile of ashes. The holy man restores him [E121.5], and the youth succeeds on his second attempt. Cf. Types 400, 408."
2085,300,The Dragon-Slayer,"A youth acquires (e.g. by exchange) three wonderful dogs [B421, B312.2]. He comes to a town where people are mourning and learns that once a year a (seven-headed) dragon [B11.2.3.1] demands a virgin as a sacrifice [B11.10, S262]. In the current year, the kings daughter has been chosen to be sacrificed, and the king offers her as a prize to her rescuer [T68.1]. The youth goes to the appointed place. While waiting to fight with the dragon, he falls into a magic sleep [D1975], during which the princess twists a ring (ribbons) into his hair; only one of her falling tears can awaken him [D1978.2]. Together with his dogs, the youth overcomes the dragon [B11.11, B524.1.1, R111.1.3]. He strikes off the dragons heads and cuts out the tongues (keeps the teeth) [H105.1]. The youth promises the princess to come back in one year (three years) and goes off. An impostor (e.g. the coachman) takes the dragons heads, forces the princess to name him as her rescuer [K1933], and claims her as his reward [K1932]. The princess asks her father to delay the wedding. Just as the princess is about to marry the impostor, the dragon-slayer returns. He sends his dogs to get some food from the kings table and is summoned to the wedding party [H151.2]. There the dragon-slayer proves he was the rescuer by showing the dragons tongues (teeth) [H83, H105.1]. The impostor is condemned to death, and the dragon-slayer marries the princess. Cf. Types 301, 303, 314, 315, 502, 530, 554."
2086,300A,The Fight on the Bridge,"(Including the previous Type 300A*.) After having eaten a (three) fish, the daughter of a tsar, her maid, and a she-dog (cow, mare, cat) give birth to sons at the same time [T511.5.1]. (Cf. Type 303.) The three sons together go out for adventure [F601]. While his brothers are sleeping, the animal son [B631] (often a fool) fights against a three-headed dragon [B11.2.3.2] on a bridge. In the following two nights he defeats six- [B11.2.3.3], twelve- [B11.2.3.5] or multi-headed [B11.2.3, B11.11] dragons (is able to defeat the third one only with the help of his horse [B401]). (In the form of a fly [D185.3], cat [D142] or the like), the animal son overhears the conversations of the dragon-wives (dragon-daughters) [N451], defeats their enchantments, and thus saves his brothers. The dragons mother pursues the three brothers and devours two of them [B11.10.3]. The animal son hides in a magic forge. He outwits the dragons mother, who spits out the brothers she had devoured. Together with the smiths, the animal son kills the dragons mother, and the smiths forge her to a horse. Cf. Type 705A. In some cases, a magical old man (father of the slain dragons) defeats the animal son in a contest (horse race) and takes away his horse. The old man sends out a hero in order to win a bride (often a transition to Type 513A). In addition to this regular form, there exist two versions without the introductory part of the magic conception: (1) The dragon-slayer wins back the celestial lights which the dragon had stolen and gives them to men. (Previously Type 300A*.) Cf. Type 328A*. (2) The animal son defeats the strongest dragon and wins his horse for the tsar."
2087,301,The Three Stolen Princesses,"(Including the previous Types 301A and 301B.) This type combines various introductory episodes with a common main part: Introductory episodes: (1) A king banishes his three daughters to the underworld (they are abducted by monsters [H1385.1]). Three brothers (a supernatural hero with his extraordinary companions) go to find the daughters. (2) A monster (dragon, snake, etc.)steals golden apples from the kings garden. Three brothers (princes) lie in wait. Only the youngest is able to wound the monster. The brothers follow his bloody tracks [F102.1, N773]. (3) A child of magic birth (son of a bear or horse [B631], born from tears) grows into a youth gifted with exceptional strength [T615]. He takes to the road for adventure (luck), and allies himself with two companions with extraordinary powers [F601]. When they prepare their food, twice a little man (dwarf, devil, giant) spoils it (eats the food and beats up the cook) [F451.5.2]. Only the hero is able to catch and punish the little man, who then shows the companions the entrance to the underworld. Main part: The companions (brothers) come to a well (pit, cave) [F92] and lower the hero (youngest brother) into it [F96]. The hero overcomes monsters (dragons, devils) and rescues (the three) princesses (with the princesses help, using a weapon, only by his strength, by magic means) [R111.2.1]. (The princesses give him presents.) His treacherous companions pull the princesses up but leave the hero below [K1931.2] (cut off the rope [K963], overturn the basket). They force the maidens to name them as their rescuers [K1933]. The hero returns to the upper world with the help of a spirit, which gives him the ability to fly (a bird to whom he has to feed his own flesh [B322.1]; he ascends on a climbing plant which he himself planted, etc.). The princesses delay their wedding (for a year). On the wedding day, the hero comes to the castle and is imprisoned. But the truth comes to light (the hero is recognized by the princesses when he shows the presents [H80]), and the impostors are punished (banished, killed) [Q262]. The hero marries the youngest princess [L161] and becomes king. Cf. Type 300. In some variants, the hero has to go to much deeper regions of the underworld before he is able to come back to the upper world, because he mistakenly mounted a black animal (ram, sheep, goat, horse, lion, snake) instead of a white one. Finally the white animal carries him up again."
2088,301D*,The Princesss Ring (previously Dragons Ravish Princesses),"When she goes for a walk, a princess (daughter of a tsar) disappears. Her father promises her to whoever finds and rescues her [T68.1]. A soldier takes a ship and goes out to search for the princess. On a lonely island he meets a dragon (giant, devil), makes him drunk with wine, cuts off his head and takes away his keys [B11.11]. He finds the princess and takes her to the ship. Just when they are about to sail, the princess asks for a ring she forgot, and the soldier goes back to get it. Meanwhile the ship sails away and the treacherous captain forces the princess to name him as her rescuer [K1933]. The soldier takes service with robbers (devils, magician) and finds magic objects in a forbidden room of their house [C611] (castle) (gets them as payment). With the help of these objects he gets back home. On her wedding day with the captain, the princess recognizes the soldier by her ring [H94], tells her father the truth, and marries the soldier [L161]. Cf. Types 301, 505."
2089,302,The Ogres (Devils) Heart in the Egg,"(Including the previous Types 302A*, 302B*, and 425P.) Because he helped some animals to divide a meal in a fair manner, a youth is rewarded with the ability to transform himself into their shapes (they promise their help because he spared or nourished them) [B393, B500, D1834]; cf. Type 554. He goes to rescue a princess who has been abducted by an ogre (giant, dragon, devil) (to rescue his wife who has been abducted by a supernatural enemy, cf. Type 400) [R11.1]. As an eagle, the youth comes to the ogres castle, as an ant into the princesss chamber [D152.2, D182.2]. He learns from the princess that the ogre cannot be defeated because his heart (power of life, soul) is hidden outside of his body [E710]. The princess elicits the hiding place from the ogre [K975.2]: His heart lies enclosed in various animals in an egg (little box) [E711.1, E713]; cf. Type 590. The youth follows the princesss instructions, finds the ogres soul, and destroys it (the grateful animals do so for him [B571.1]). The ogre dies [K956], and the youth marries the princess [L161]. Cf. Type 665."
2090,302B,Life Dependent on a Sword (previously Hero with Life Dependent on his Sword),"(Including the previous Type 516B.) A childless couple magically conceive a son [T510]. An old man (his father, God) gives the son a sword (knife) which he should always carry with him (should not lay it on the ground, not pull out from its sheath). Or: The youngest of three brothers inherits a horse, clothes, and a sabre from his father, and goes out for adventure, accompanied by some companions (blood-brothers) with magic powers [F601]. With the aid of his sword he defeats the kings army and kills a dragon(s). His companions marry the rescued women. The youth himself marries a woman of extraordinary beauty. When the king catches a sight of her picture [T11.2] or of a curl (ring, slipper) which she lost in the sea (river), he falls in love with her and sends out an old woman (witch) to capture her. By a trick the old woman enters the youths house, learns the secret of the sword [E711.10], and throws it into the sea. Deprived of his strength, the youth dies, and his wife is taken to the king. Through a life token, the youths friends discover what has happened, recover the sword, restore it to its original condition, and resuscitate the youth. The youth creeps into the kings castle, hides in the room of his wife, kills the king (the old woman), and becomes king himself. Cf. Type 318."
2091,302C*,The Magic Horse,"(Including the previous Type 422*.) At the wish of the dead king, his youngest son permits his three sisters to marry the first suitors who come for them. Visiting his brothers-in-law, he learns that they are the masters of the three kingdoms of animals. The prince wins a wife who forbids him to enter a certain room [C611]. He disregards her prohibition and revives a dragon (demon) who is impaled on a wall (contained in a hoop). The dragon frees himself and abducts the princes wife. The prince searches for her and three times tries to flee with her. Riding on his magic horse, the dragon overtakes the two but does not kill the prince, because he promised to spare his life three times; the fourth time, he cuts him up. Signals of distress tell the brothers-in-law that the prince is in danger, and they come and resuscitate him. He goes back to the dragon, asks his wife to find out where the magic horse came from, and learns that a certain witch owns one. On his way to the witch, the prince wins the gratitude of three animals which help him to tend the witchs three horses (daughters) that live in the earth, the clouds, and the sea. In payment, the prince choses a scabby foal which turns into a magic horse (with extra legs), and he and his wife flee on his back. The magic horse is the brother of the dragons horse, and it compells the latter to throw off its rider, the dragon. The dragon is killed, and the prince returns home together with his wife. Cf. Type 552."
2092,303,The Twins or Blood-Brothers,"(Including the previous Types 553 and 581.) After having eaten a magic fish (apple, water) [T511.5.1, T511.1.1, T512], a woman gives birth to twins. (Cf. Type 705A.) Grateful animals accompany the grown-up brothers, or animals give them one or more of their young ones because the brothers did not kill them. (The brothers are given unusual animals; they win them or bring them up; in some variants, the animals are born at the same time as the brothers [T589.7.1].) Together with his animals, one of the brothers sets out. When the brothers separate, they agree upon a life token that gives a warning when one of them is in mortal danger and needs help: Water will become cloudy, a plant or a tree dry up, a knife stuck in a tree will grow rusty, etc. [E761]. The first brother frees a princess (three princesses) from a dragon (trolls), unmasks an impostor (Red Knight) who pretended to be the princesss rescuer, and marries the princess [R111.1.3, K1932, H83, L161]. Cf. Type 300. Against a warning, the hero follows a light [G451] (is tempted by an animal). He falls into the power of a witch and is turned to stone [D231]. His twin brother is warned by the life token and sets forth in quest of him. The princess mistakes him for her husband, as the two brothers are very much alike [K1311.1]. At night the brother puts a naked sword in the bed between himself and his sister-in-law [T351]. Then he finds the witch, makes her remove the spell from his brother, and kills her. The first brother learns that the second has slept with his wife and kills him out of jealousy [N342.3]. Later on, when he asks his wife why she had put the sword in the bed, he realizes that his brother was innocent. The brother is resuscitated by magic means [B512] (water of life). In some variants, a youth saves the life of a raven (crane, eagle). As a reward he obtains magic objects. The youth defeats a sea monster, delivers three princesses, and marries the youngest of them. (Previously Type 553.)"
2093,303A,Brothers Seek Sisters as Wives (previously Six Brothers Seek Seven Sisters as Wives),"A number of brothers (usually six, twelve or one hundred) set out to find a number of sisters as wives for themselves and their youngest brother who remained home [T69.1]. On the way an old man (giant, troll) transforms the brothers and their brides into stone and takes the youngest bride for himself [D231, R11.1]. The youngest brother goes to look for his lost brothers and comes to the old mans house. Here he finds the youngest bride who tells him that the heart (life) of the old man is enclosed in a bird [E715.1]. With the help of grateful animals which he had fed on his way, the youngest brother catches the bird and kills it, thus killing the old man (he rescues his brothers and the brides by performing different tasks). Brothers and brides are restored to life [R155.1]. Cf. Type 302. In some variants, the brothers marry the daughters of a witch. During the night in bed the brothers exchange their places with those of their wives. The witch kills her own daughters. Cf. Type 1119."
