,ID,Name,Type
2040,450,Little Brother and Little Sister,"Little brother and little sister run away from their home because of their cruel stepmother [S31.5, S31] or because their parents want to eat them. In spite his sisters warning, the brother drinks from a spring or an animals track [D555] and is transformed into a deer [D114.1.1] (lamb [D135], goat). The children live together in the forest until a prince finds them [P253.2, N711.1]. The sister hides up in a tree but the prince tricks her into coming down. She marries the prince and they take the animal brother with them. The prince is absent when their child is born. The sister is replaced by another bride [K1911, K1911.1.2], often the daughter of a bad woman (stepmother, witch, maid). The sister is thrown into the water [S142], transformed into a bird [D150] (fish [D170]), or swallowed by a fish [K1911.2.2.1]. She returns at night to suckle her child [E323.1.1, D688] and to look after her brother. A servant overhears the conversation between the animal brother and the sister and informs the prince [H13]. The false bride and her mother are punished. Cf. Type 403. In some variants the false bride and her mother want to kill the animal brother because they fear that the truth will be discovered. The cook saves him."
2041,451,The Maiden Who Seeks her Brothers,"(Including the previous Types 451A and 451*.) A girl rescues her twelve (seven, three, six) brothers [P253.0.5, P251.6.7, Z71.5.1] who had been transformed into animals (birds) [P253.2]. This tale exists chiefly in three different forms but they are often mixed with each other: (1) A stepmother transforms her stepsons into swans [D161.1] (ravens [D151.5]). The sister looks for her brothers and finds out how to release them: She has to be silent for some years [D758] and has to make shirts out of cotton-grass for the brothers [D753.1]. A king finds the young woman in the forest and marries her [N711]. In his absence she bears a child, but her mother-in-law takes it away and accuses her of eating the child [K2116.1.1] (having borne an animal). The young queen remains silent because of her brothers, even though she is to be executed. On her way to the funeral pyre her period of silence ends and her brothers are disenchanted. Everything is explained and the mother-in-law is punished. In some variants the disenchantment of one brother is not complete (he keeps a wing) because the sister cried a tear when her child was taken away (did not completely finish his shirt). (2) A girl finds her brothers in a remote place and keeps house for them. They tell her to take care of the cat (dog), watch the fire, and be careful of the demonic neighbor (ogre, witch). Once she forgets to divide her food with the cat, so it puts out the fire. After the girl asks the neighbor for help, the ogre comes regularly to suck her blood. When the brothers discover this, they kill him. The girl takes flowers (herbs) from the grave of the ogre. Her brothers eat them and they are changed into oxen (sheep, birds). The episode of disenchantment is less important. (3) A mother (father) curses her sons because there is not enough to eat. They are transformed into ravens (swans). The sister seeks for them and asks for directions from the sun, moon, and stars [H1232]. She finds her brothers on a glass mountain (glass palace). To reach them she needs a little bone as a key (gets help from the wind). She releases her brothers and they go back home. In some variants the episode with marriage and slander follows. Some variants start with the promise of the mother to sacrifice the brothers if a daughter (one more brother) is born [S272]. She tries to inform the boys after the birth by a sign [T595], but the wrong sign is sent [N344.1], so the brothers leave home [S272.1]."
2042,452B*,The Sisters as Oxen,"A witch and her daughter are jealous of three beautiful orphan girls who are in the kings favor. The witch puts magic powder in the girls soup and the two elder girls eat it and are transformed into oxen. The king asks the youngest girl to marry him and she accepts on condition that the oxen are cared for in the kings palace. The witch visits the palace and sticks two pins in the queens head, so she becomes a dove. The witchs daughter pretends to be the queen. The dove comes to the palace and is caught by a gardener, who has heard it speak. The king removes the pins from its head and it regains human form. The witch and her daughter are burned to death. Cf. Type 408."
2043,459,The Make-Believe Son (Daughter),A king casts out his first wife because she is childless. Later a maidservant informs the king that this queen has born a son (daughter) but the king is not allowed to see it. The queen is supplied with a house and food. After some years the king arranges a marriage for his child. The maidservant makes an image of a youth or puts an animal in a sedan-chair. A god pities the queen and vivifies the image or turns the animal into a handsome youth (young woman). The king is reconciled with the queen. In some variants a prince falls in love with a doll thinking it is a young woman and he wants to marry her. Her parents convince him to marry the daughter of their neighbor.
2044,425,The Search for the Lost Husband,"This type refers to a cycle of related tales. It combines episodes from types 425A425E, 425M, and 425*. Cf. Types 400, 430, 432, and 441."
2045,425*,The Insulted Bridegroom Disenchanted (previously Enchanted Animal Husband Insulted by Guests),"A princess (the youngest of three sisters) wants to marry. Her father insists that she must marry the first one whom she meets (whoever picks up a certain rose). A mouse with a stinking tail (a poor man carrying water) comes by, and the princess marries him [T118]. During the wedding feast, when guests insult the mouse-bridegroom, the castle and all its inhabitants disappear, and the princess finds herself alone. She sets out on a quest for her lost husband [H1385.4]. Two hermits direct her to the underworld. There she finds the castle of the mouse-bridegroom. Through her love he is disenchanted and turns into a beautiful prince [D700]. In some variants the princess lives in poverty with her husband. She dreams of a splendid castle and of wealth. Two times the dream comes true, and she invites her relatives to the castle. When her poor husband appears, someone calls his name and the castle disappears. The third time, she instructs them not to call her husbands name. Thus he is disenchanted."
2046,425A,The Animal as Bridegroom,"(Including the previous Type 425G.) This type combines various introductory episodes with a common main part. Cf. Types 430, 432, and 441. Introductory episodes: (1) The youngest daughter asks her father (the king) to bring her a (musical) rose (lark, etc.)from his journey. He finds it in the garden of a beast, but in return has to promise his daughter (the first being he meets when he arrives at home) [L221, S228, S241] to the beast. The father tries in vain to send another girl instead of his daughter [S252]. Cf. Type 425C. (2) An animal-son (snake, crayfish, also pumpkin, etc.)is born (because of the hasty wish of his parents) [C758.1]. He demands a princess for his wife and performs difficult (impossible) tasks. The princess has to marry him [T111]. (3) A girl is intended (by fate) for an animal bridegroom or agrees to marry him [B620.1, L54.1]. (4) For other reasons a girl has an animal husband and lives together with him in his castle. He becomes a beautiful man by night [D621.1, B640.1]. Main part: When the young wife (often on the advice of her female relatives) burns the animal-skin of her bridegroom [C757.1] (looks at him during the night or burns him with candle wax [C32.1, C916.1], reveals his secret [C421], or otherwise prevents his disenchantment), he goes away [C932]. The young wife sets out for a long and difficult quest [H1385.4] (in iron shoes [Q502.2], etc.). On her way she is given directions and precious gifts by the sun, moon, wind, and stars [H1232] (helpful old people or animals [H1233.1.1, H1235]. She arrives (sometimes by climbing a glass mountain [H1114]) at her bridegrooms far-away residence. She finds that her husband has another (supernatural) bride. She takes service as maid [Q482.1] and trades her precious things (golden implements for spinning, jewels, magnificent clothes, etc.)for three nights by the side of her lost husband [D2006.1.1]. She wants to awaken his memory of her, but two times he is drugged by a soporific. He spills the soporific on the third night, stays awake, and recognizes her as his true bride [D2006.1.4]. (Death of the false bride.) Cf. Type 313."
2047,425B,Son of the Witch (previously The Disenchanted Husband: the Witchs Tasks),"(Cupid and Psyche.) (Including the previous Types 425J, 425N, and 428.) This type combines various introductory episodes with a common main part. Cf. Type 425A. Introductory episodes: A young woman marries a supernatural bridegroom: (1) She is given to her bridegroom because of a present that she has asked her father to bring back from a journey [S228]. (2) The bridegroom performs a set of difficult tasks. (3) She pulls up an herb and discovers the bridegrooms subterranean castle (a wind carries her there). (4) She finds him in another way. The bridegroom is the son of a witch (ogress) or he is (during the day) an animal [D621.1]. Main part: The young woman breaks the bridegroom`s prohibition (cf. Typ 425A), and he goes away [C932]. (Before he leaves, he gives her a token, e.g. ring, feather.) (In iron shoes) she sets out to find him [H1385.4, H1125]. The bride comes to the house of her bridegrooms mother, a witch, who swears by her sons name not to devour her. The witch imposes difficult tasks on the young woman, which she performs (with the help of her bridegroom): to sort a large quantity of grain [H1122], to fill mattresses with the feathers of all kinds of birds, to wash the black wool white and the white black [H1023.6, cf. Type 1183], to sweep a house but leave it unswept [H1066], etc. In some variants she enchants (three) suitors and makes them fight (part of previous Type 425N). Cf. Types 313, 875. The young woman is sent on a dangerous journey to bring a casket from the sister of the witch. Having passed obstacles (with the advice from her bridegroom) and obtained the casket, she is forbidden to open it. (Cf. Types 408, 480.) When the bride acts against the prohibition, her husband helps her. At the wedding of the bridegroom and the witchs daughter, the young woman has to hold ten burning candles (torches). Her bridegroom saves her from being burned. The young woman remarries her bridegroom, or both escape by a magic (transformation) flight [D671, D672]. In some variants a female demon (witch) demands that a young woman accomplish impossible tasks [G204, H1010, H931]. Among other things, the girl has to bring a letter to another demon telling her to kill the girl [K978] (cf. Type 930). A wolf helps the girl to escape the danger [B435.3]. As a reward, the wolf is disenchanted. He turns to a prince [D113.1] and marries the young woman. (Previously Type 428.)"
2048,425C,Beauty and the Beast,"(Including the previous Type 425H.) A merchant sets out on a journey and intends to bring back presents for his three daughters. The two elder ones demand jewels and clothes, the youngest a rose [L221]. The father is not able to find one. He loses his way and stays overnight in a deserted castle, where he breaks off a rose. An (invisible) animal (beast) demands that the man return or send a substitute [S222]. The youngest daughter meets her fathers obligation but refuses to marry the (ugly) animal, who treats her kindly. In a magic mirror she sees her father is ill. She is allowed to visit him but (influenced by her envious sisters) overstays the allotted time [C761.2]. She returns and finds the animal near death, realizes she loves him, and caresses or kisses him. By this means she disenchants the prince from his animal shape [D735.1]. They marry."
2049,425D,The Vanished Husband (previously Vanished Husband Learned of by Keeping Inn (Bath-house),"(Including the previous Type 425F.) (A childless couple adopts an animal or object which grows up and wants to marry; cf. Type 433B). The animal (crayfish, frog, he-goat, bird, etc. , or the head of a donkey) performs the tasks set for the suitors [T68] and marries the kings youngest daughter. During the night he turns into a beautiful young man [B640.1]. He warns his wife against telling his secret, but she breaks the taboo and he leaves her [C932]. The wife sets up an inn (bakery, bathhouse) where everyone who tells a tale gets free service [H11.1.1] (disguised as a man [K1837], she gives a golden coin to everyone she meets, if they will tell a tale). She thus learns where her husband lives and how to save him [C991]. She finds her husband and disenchants him. In some variants a princess loses her enchanted bridegroom, a bird [D150], and becomes melancholy. The king promises a reward to anyone who can make the princess laugh [H1194]. An old woman, who knows where the bridegroom lives, tells the princess and makes her laugh. The princess finds her bridegroom in his castle. She releases him from his enchantment by starving for seven years (standing without shelter out in the wind and rain for a year or more). By doing this she becomes so ugly that the prince does not want her. With the help of kind fairies she becomes beautiful and wealthy. Her bridegroom falls in love with her. She makes demands on him (he must build a bridge and lie down in a coffin). They are reunited. (Previously Type 425F.)"
